response_id,user_id,nps_score,timestamp,question,response_text,user_segment,time_since_signup_days
R001,U2001,9,2024-03-10 10:23:45,"What's the primary reason for your score?","I love how intuitive everything is. I was up and running in like 10 minutes, which is amazing. Usually onboarding takes forever, but this was smooth and actually helpful. The interactive tutorial showed me exactly what I needed to know without overwhelming me.",power_user,3
R002,U2002,4,2024-03-10 11:12:33,"What's the primary reason for your score?","I'm still confused about how to use most of the features. The onboarding was too fast - it showed me things but didn't give me time to actually try them. Now I'm stuck and don't know what to do. I've watched the tutorial videos but they don't help much.",new_user,2
R003,U2003,7,2024-03-10 12:45:21,"What's the primary reason for your score?","It's pretty good overall. The onboarding was helpful, but I feel like I'm still discovering features. Some things aren't obvious, and I wish there was better guidance. But I can see the value, so I'll stick with it for now.",casual_user,5
R004,U2004,10,2024-03-10 13:23:56,"What's the primary reason for your score?","This is the best onboarding experience I've ever had. Everything was clear, the examples were relevant, and I felt confident using the tool right away. I've already recommended it to three colleagues. Seriously, whoever designed this did an amazing job.",power_user,1
R005,U2005,3,2024-03-10 14:12:44,"What's the primary reason for your score?","I'm frustrated. The onboarding seemed fine at first, but now that I'm actually trying to use the tool, nothing works the way I expected. The tutorial showed me one thing, but the actual interface is different. I feel misled.",new_user,4
R006,U2006,8,2024-03-10 15:34:12,"What's the primary reason for your score?","I really like it. The onboarding was smooth, and I appreciate that I could skip parts I didn't need. The tool itself is powerful, and I can see myself using it regularly. My only complaint is that some features are hard to find.",casual_user,7
R007,U2007,6,2024-03-10 16:23:45,"What's the primary reason for your score?","It's okay. Not great, not terrible. The onboarding was fine, but I'm still not sure if this tool is right for me. I need to use it more to really decide. Right now I'm neutral - it works, but I'm not excited about it.",new_user,3
R008,U2008,9,2024-03-10 17:12:33,"What's the primary reason for your score?","I'm impressed. Usually I hate onboarding flows - they're either too slow or too fast, and they never actually help. But this one was perfect. It gave me exactly what I needed without being annoying. And the tool itself is great.",power_user,2
R009,U2009,5,2024-03-10 18:45:21,"What's the primary reason for your score?","I'm on the fence. The onboarding was okay, but I'm not sure I understand how to use the tool effectively. I've been clicking around, but I feel like I'm missing something. Maybe I need to watch more tutorials or something.",casual_user,6
R010,U2010,7,2024-03-10 19:23:56,"What's the primary reason for your score?","It's good. The onboarding was helpful, and I can see the value in the tool. But there's a learning curve, and I'm not sure I have time to invest in learning it right now. I'll probably come back to it later when I have more time.",new_user,4
R011,U2011,10,2024-03-11 09:12:44,"What's the primary reason for your score?","Amazing experience. I was skeptical at first because I've been burned by bad onboarding before, but this was different. It was actually useful, not just a checkbox. And the tool itself is exactly what I needed. I'm already using it daily.",power_user,1
R012,U2012,2,2024-03-11 10:34:12,"What's the primary reason for your score?","I'm really frustrated. The onboarding was confusing, and now I can't figure out how to do basic things. I've tried reading the documentation, but it's not helpful. I'm probably going to cancel my subscription because I can't use the tool effectively.",new_user,5
R013,U2013,8,2024-03-11 11:23:45,"What's the primary reason for your score?","I like it. The onboarding was smooth, and I appreciate that I could customize it based on my role. The tool is powerful, and I can see myself using it regularly. My only complaint is that some features aren't intuitive.",casual_user,8
R014,U2014,6,2024-03-11 12:12:33,"What's the primary reason for your score?","It's fine. The onboarding was okay, but I'm still not sure if this is the right tool for me. I need to use it more to really understand its value. Right now I'm neutral - it works, but I'm not sure if it's worth the cost.",new_user,3
R015,U2015,9,2024-03-11 13:45:21,"What's the primary reason for your score?","I'm really happy with it. The onboarding was great - it showed me exactly what I needed to know without being overwhelming. And the tool itself is powerful and easy to use. I've already recommended it to my team.",power_user,2
R016,U2016,4,2024-03-11 14:23:56,"What's the primary reason for your score?","I'm confused. The onboarding seemed fine, but now that I'm actually using the tool, nothing works the way I expected. I feel like I was shown a simplified version, but the real thing is completely different. I'm struggling to figure things out.",new_user,6
R017,U2017,7,2024-03-11 15:12:44,"What's the primary reason for your score?","It's good overall. The onboarding was helpful, and I can see the value in the tool. But there's definitely a learning curve, and I'm not sure I have time to invest in learning it right now. I'll probably come back to it later.",casual_user,5
R018,U2018,10,2024-03-11 16:34:12,"What's the primary reason for your score?","This is the best tool I've used in a long time. The onboarding was perfect - it gave me exactly what I needed without being annoying. And the tool itself is powerful and intuitive. I'm already using it daily and recommending it to everyone.",power_user,1
R019,U2019,5,2024-03-11 17:23:45,"What's the primary reason for your score?","I'm on the fence. The onboarding was okay, but I'm not sure I understand how to use the tool effectively. I've been clicking around, but I feel like I'm missing something important. Maybe I need more help or better documentation.",casual_user,7
R020,U2020,8,2024-03-11 18:12:33,"What's the primary reason for your score?","I really like it. The onboarding was smooth, and I appreciate that I could skip parts I didn't need. The tool is powerful, and I can see myself using it regularly. My only complaint is that some advanced features are hard to discover.",casual_user,9
R021,U2021,3,2024-03-12 09:45:21,"What's the primary reason for your score?","I'm frustrated. The onboarding was too fast, and I didn't have time to actually try the features. Now I'm stuck and don't know what to do. I've tried watching tutorials, but they don't help. I'm probably going to cancel.",new_user,4
R022,U2022,9,2024-03-12 10:23:56,"What's the primary reason for your score?","I'm impressed. Usually onboarding flows are annoying, but this one was actually helpful. It showed me exactly what I needed to know, and I felt confident using the tool right away. The tool itself is great too.",power_user,2
R023,U2023,6,2024-03-12 11:12:44,"What's the primary reason for your score?","It's okay. The onboarding was fine, but I'm still not sure if this tool is right for me. I need to use it more to really decide. Right now I'm neutral - it works, but I'm not excited about it.",new_user,3
R024,U2024,7,2024-03-12 12:34:12,"What's the primary reason for your score?","I like it. The onboarding was helpful, and I can see the value in the tool. But there's a learning curve, and I'm not sure I have time to invest right now. I'll probably come back to it later when I have more time.",casual_user,6
R025,U2025,10,2024-03-12 13:23:45,"What's the primary reason for your score?","Amazing. The onboarding was perfect - it gave me exactly what I needed without being overwhelming. And the tool itself is exactly what I was looking for. I'm already using it daily and telling everyone about it.",power_user,1
R026,U2026,4,2024-03-12 14:12:33,"What's the primary reason for your score?","I'm confused. The onboarding seemed okay, but now that I'm actually using the tool, I can't figure out how to do basic things. I feel like I was shown one thing, but the actual interface is different. I'm struggling.",new_user,5
R027,U2027,8,2024-03-12 15:45:21,"What's the primary reason for your score?","I really like it. The onboarding was smooth, and I appreciate the customization options. The tool is powerful, and I can see myself using it regularly. My only complaint is that some features could be more discoverable.",casual_user,10
R028,U2028,5,2024-03-12 16:23:56,"What's the primary reason for your score?","I'm on the fence. The onboarding was okay, but I'm not sure I understand how to use the tool effectively. I've been exploring, but I feel like I'm missing something important. Maybe I need better guidance.",new_user,4
